Date,Home,Away,HG,AG,1,X,2,Season,Result,HTR,Week,HW,AW,HL,AL,HGF,AGF,HAGF,HGA,AGA,HAGA,HGD,AGD,HAGD,HWGD,AWGD,HAWGD,HLGD,ALGD,HALGD,HW%,HL%,AW%,AL%
2026-04-22,Pohang,Gwangju FC,1,0,1.58,3.4,5.2,2026,H,H,54,0.0,0.0,1.0,1.0,0.0,1.0,-1.0,1.0,5.0,-4.0,-1.0,-4.0,3.0,0.0,0.0,0.0,0.0,1.0,-1.0,28.6,42.9,0.0,60.0
2026-04-21,Jeonbuk,Incheon,1,2,1.9,3.2,3.6,2026,A,D,49,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,-2.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,66.7,33.3,25.0,25.0
2026-04-21,Sangmu,Gangwon,0,3,2.75,3.05,2.3,2026,A,A,50,0.0,1.0,0.0,0.0,1.0,2.0,-1.0,1.0,0.0,1.0,0.0,2.0,-2.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,25.0,50.0
2026-04-21,Seoul,Bucheon,3,0,1.65,3.4,4.5,2026,H,H,51,0.0,1.0,1.0,0.0,0.0,1.0,-1.0,1.0,0.0,1.0,-1.0,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,66.7,33.3,50.0,25.0
2026-04-19,Pohang,Anyang,0,1,2.03,2.95,3.4,2026,A,D,47,0.0,0.0,1.0,0.0,0.0,1.0,-1.0,2.0,1.0,1.0,-2.0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0,1.0,33.3,33.3,0.0,25.0
2026-04-19,Ulsan,Gwangju FC,5,1,1.48,3.7,5.5,2026,H,H,48,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,3.0,1.0,-3.0,-3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,33.3,33.3,0.0,50.0
2026-04-18,Bucheon,Incheon,2,2,3.1,2.9,2.2,2026,D,A,43,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,33.3,33.3
2026-04-18,Gangwon,Jeonbuk,1,1,2.4,2.8,2.85,2026,D,A,44,1.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,1.0,-1.0,3.0,-1.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,33.3,0.0,25.0,25.0
2026-04-18,Jeju,Sangmu,1,1,2.75,3.0,2.35,2026,D,A,45,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,-2.0,1.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,50.0,0.0,33.3
2026-04-18,Seoul,Daejeon,0,1,1.87,3.3,3.5,2026,A,A,46,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,-1.0,1.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,33.3,33.3
2026-04-15,Ulsan,Seoul,1,4,2.6,3.05,2.4,2026,A,A,42,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,75.0,0.0
