Date,Home,Away,SourceHome,SourceAway,HG,AG,HTHG,HTAG,MatchScore
2018-10-28,Hammarby,Kalmar,Hammarby IF,Kalmar FF,0,0,0,0,0.873015873015873
2018-10-27,Dalkurd,Hacken,Dalkurd FF,BK Häcken,0,5,0,3,0.8660714285714286
2018-10-21,Trelleborgs,Sirius,Trelleborgs FF,IK Sirius,1,2,1,1,0.8869047619047619
2018-10-21,Kalmar,Norrkoping,Kalmar FF,IFK Norrköping,1,2,1,1,0.8633540372670807
2018-10-21,Hacken,Ostersunds,BK Häcken,Östersunds FK,2,0,2,0,0.8831168831168831
2018-10-21,Elfsborg,Sundsvall,IF Elfsborg,GIF Sundsvall,2,0,0,0,0.873015873015873
2018-10-21,Djurgarden,AIK,Djurgården,AIK,0,0,0,0,1.0
2018-10-20,Malmo FF,Hammarby,Malmö FF,Hammarby IF,2,1,0,1,0.9444444444444444
2018-10-20,Dalkurd,Orebro,Dalkurd FF,Orebro SK,1,0,0,0,0.8660714285714286
2018-10-07,Norrkoping,Djurgarden,IFK Norrköping,Djurgården,1,1,1,0,0.9347826086956521
2018-10-07,Hacken,Malmo FF,BK Häcken,Malmö FF,1,1,0,0,0.9285714285714286
2018-10-07,Brommapojkarna,Hammarby,IF Brommapojkarna,Hammarby IF,2,4,1,1,0.9111111111111111
2018-10-07,AIK,Orebro,AIK,Orebro SK,1,1,1,0,0.9285714285714286
2018-10-06,Sirius,Elfsborg,IK Sirius,IF Elfsborg,4,2,2,2,0.873015873015873
2018-10-06,Goteborg,Trelleborgs,IFK Göteborg,Trelleborgs FF,2,2,1,1,0.8793859649122806
2018-09-30,Malmo FF,Sundsvall,Malmö FF,GIF Sundsvall,0,0,0,0,0.9285714285714286
2018-09-30,Kalmar,Brommapojkarna,Kalmar FF,IF Brommapojkarna,1,1,0,0,0.8952380952380952
2018-09-30,Djurgarden,Ostersunds,Djurgården,Östersunds FK,0,2,0,1,0.9545454545454546
2018-09-30,Dalkurd,AIK,Dalkurd FF,AIK,0,4,0,2,0.9375
2018-09-29,Sirius,Norrkoping,IK Sirius,IFK Norrköping,1,1,0,1,0.8633540372670807
2018-09-23,Malmo FF,Kalmar,Malmö FF,Kalmar FF,4,0,3,0,0.9285714285714286
2018-09-23,AIK,Hammarby,AIK,Hammarby IF,1,0,0,0,0.9444444444444444
2018-09-22,Trelleborgs,Djurgarden,Trelleborgs FF,Djurgården,0,3,0,2,0.9583333333333333
2018-09-22,Sirius,Ostersunds,IK Sirius,Östersunds FK,0,1,0,0,0.8831168831168831
2018-09-22,Elfsborg,Orebro,IF Elfsborg,Orebro SK,1,0,1,0,0.873015873015873
2018-09-16,Norrkoping,AIK,IFK Norrköping,AIK,2,0,0,0,0.9347826086956521
2018-09-16,Goteborg,Elfsborg,IFK Göteborg,IF Elfsborg,2,2,0,2,0.8654970760233918
2018-09-16,Djurgarden,Brommapojkarna,Djurgården,IF Brommapojkarna,0,1,0,0,0.9666666666666667
2018-09-15,Orebro,Sundsvall,Orebro SK,GIF Sundsvall,2,1,0,1,0.8571428571428571
2018-09-02,Sundsvall,Sirius,GIF Sundsvall,IK Sirius,4,0,0,0,0.8571428571428571
2018-09-02,Hammarby,Djurgarden,Hammarby IF,Djurgården,1,3,0,1,0.9444444444444444
2018-09-02,Elfsborg,Kalmar,IF Elfsborg,Kalmar FF,1,1,1,1,0.873015873015873
2018-09-02,Dalkurd,Goteborg,Dalkurd FF,IFK Göteborg,1,1,1,0,0.8585526315789473
2018-09-02,Brommapojkarna,Malmo FF,IF Brommapojkarna,Malmö FF,0,3,0,1,0.9666666666666667
2018-09-01,AIK,Hacken,AIK,BK Häcken,3,0,3,0,0.9285714285714286
2018-08-26,Ostersunds,Sundsvall,Östersunds FK,GIF Sundsvall,1,2,1,0,0.8831168831168831
2018-08-26,Malmo FF,Sirius,Malmö FF,IK Sirius,5,0,0,0,0.9285714285714286
2018-08-26,Hacken,Brommapojkarna,BK Häcken,IF Brommapojkarna,6,0,3,0,0.8952380952380952
2018-08-26,Djurgarden,Elfsborg,Djurgården,IF Elfsborg,2,2,0,0,0.9444444444444444
2018-08-26,AIK,Trelleborgs,AIK,Trelleborgs FF,2,0,1,0,0.9583333333333333
2018-08-19,Sundsvall,Hacken,GIF Sundsvall,BK Häcken,0,2,0,1,0.8571428571428571
2018-08-19,Elfsborg,Norrkoping,IF Elfsborg,IFK Norrköping,0,1,0,0,0.8792270531400965
2018-08-19,Djurgarden,Kalmar,Djurgården,Kalmar FF,0,2,0,1,0.9285714285714286
2018-08-19,Brommapojkarna,AIK,IF Brommapojkarna,AIK,0,2,0,1,0.9666666666666667
2018-08-18,Malmo FF,Trelleborgs,Malmö FF,Trelleborgs FF,3,0,3,0,0.9583333333333333
