Date,Season,Home,Away,HG,AG,Result,Result-U/O,1,X,2,HTR,HST,AST,HC,AC,Week,HW,AW,HL,AL,HGF,AGF,HAGF,HGA,AGA,HAGA,HGD,AGD,HAGD,HWGD,AWGD,HAWGD,HLGD,ALGD,HALGD,HW%,HL%,AW%,AL%,HSTF,ASTF,HCF,ACF
2026-04-18,2025,Napoli,Lazio,0.0,2.0,A,U,1.54,3.83,6.58,A,0.0,7.0,12.0,0.0,16,3.0,1.0,0.0,2.0,7.0,2.0,5.0,4.0,3.0,1.0,3.0,-1.0,4.0,0.0,1.0,-1.0,0.0,1.0,-1.0,73.3,0.0,25.0,37.5,23.0,17.0,24.0,22.0
2026-04-17,2025,Sassuolo,Como,2.0,1.0,H,O,5.7,4.17,1.54,H,4.0,3.0,5.0,8.0,17,3.0,2.0,1.0,0.0,7.0,5.0,2.0,3.0,2.0,1.0,4.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,43.8,43.8,46.7,20.0,14.0,12.0,18.0,11.0
2026-04-17,2025,Inter,Cagliari,3.0,0.0,H,O,1.23,6.04,11.88,D,5.0,1.0,4.0,9.0,17,3.0,0.0,0.0,3.0,11.0,3.0,8.0,5.0,8.0,-3.0,6.0,-5.0,11.0,2.0,0.0,2.0,0.0,2.0,-2.0,75.0,12.5,18.8,50.0,27.0,13.0,23.0,11.0
2026-04-13,2025,Fiorentina,Lazio,1.0,0.0,H,U,2.28,3.05,3.31,H,2.0,6.0,5.0,6.0,16,1.0,1.0,0.0,1.0,4.0,4.0,0.0,3.0,4.0,-1.0,1.0,0.0,1.0,0.0,1.0,-1.0,0.0,1.0,-1.0,20.0,40.0,26.7,33.3,17.0,13.0,23.0,17.0
2026-04-12,2025,Parma,Napoli,1.0,1.0,D,U,5.87,3.75,1.59,H,2.0,6.0,3.0,7.0,16,1.0,3.0,2.0,1.0,4.0,7.0,-3.0,8.0,5.0,3.0,-4.0,2.0,-6.0,0.0,0.0,0.0,2.0,0.0,2.0,20.0,46.7,56.2,37.5,17.0,19.0,26.0,16.0
2026-04-12,2025,Genoa,Sassuolo,2.0,1.0,H,O,2.15,3.24,3.41,H,7.0,6.0,5.0,3.0,17,2.0,2.0,2.0,1.0,7.0,7.0,0.0,6.0,5.0,1.0,1.0,2.0,-1.0,1.0,1.0,0.0,1.0,0.0,1.0,31.2,43.8,33.3,40.0,15.0,13.0,15.0,21.0
2026-04-12,2025,Como,Inter,3.0,4.0,A,O,3.11,3.38,2.23,H,8.0,5.0,1.0,1.0,17,3.0,2.0,1.0,1.0,11.0,8.0,3.0,4.0,2.0,2.0,7.0,6.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,56.2,12.5,73.3,20.0,24.0,26.0,23.0,27.0
2026-04-12,2025,Bologna,Lecce,2.0,0.0,H,U,1.78,3.37,4.8,H,4.0,1.0,8.0,6.0,16,1.0,1.0,3.0,3.0,2.0,4.0,-2.0,5.0,6.0,-1.0,-3.0,-2.0,-1.0,0.0,1.0,-1.0,1.0,1.0,0.0,33.3,53.3,20.0,66.7,14.0,11.0,15.0,12.0
2026-04-11,2025,Torino,Verona,2.0,1.0,H,O,1.88,3.28,4.38,D,2.0,4.0,3.0,6.0,16,3.0,1.0,1.0,3.0,8.0,3.0,5.0,3.0,7.0,-4.0,5.0,-4.0,9.0,2.0,0.0,2.0,0.0,1.0,-1.0,40.0,46.7,12.5,56.2,18.0,10.0,15.0,13.0
2026-04-11,2025,Milan,Udinese,0.0,3.0,A,O,1.41,4.43,7.77,A,3.0,6.0,4.0,3.0,16,2.0,1.0,1.0,2.0,5.0,5.0,0.0,4.0,5.0,-1.0,1.0,0.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,60.0,13.3,40.0,46.7,18.0,10.0,14.0,11.0
2026-04-11,2025,Cagliari,Cremonese,1.0,0.0,H,U,2.14,3.11,3.61,D,5.0,2.0,6.0,5.0,16,0.0,1.0,3.0,3.0,1.0,4.0,-3.0,5.0,7.0,-2.0,-4.0,-3.0,-1.0,0.0,1.0,-1.0,1.0,1.0,0.0,26.7,46.7,25.0,56.2,5.0,11.0,15.0,8.0
2026-04-11,2025,Atalanta,Juventus,0.0,1.0,A,U,3.04,3.34,2.29,D,3.0,2.0,13.0,2.0,17,3.0,2.0,0.0,1.0,7.0,10.0,-3.0,4.0,7.0,-3.0,3.0,3.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,56.2,12.5,46.7,33.3,23.0,29.0,32.0,11.0
